uii_code,name,region,province,city_municipality,sector,latitude,longitude,coord_status,is_multi_campus
,AMA Computer College-Cotabato City,BARMM,CITY OF COTABATO,Cotabato City,Private,7.2216421,124.2513046,valid,False
,Abubakar Computer Learning Center Foundation,BARMM,Tawi-Tawi,Bongao,Private,5.0123546,119.7655842,valid,False
,Academia de Tecnologia in Mindanao,BARMM,CITY OF COTABATO,Cotabato City,Private,7.2046668,124.2310439,valid,False
,Adiong Memorial Polytechnic State College,BARMM,Lanao Del Sur,DITSAAN-RAMAIN,Public SUC Main,7.9787345,124.3612369,valid,False
,Al Bangsamoro Shari'ah and Professional Education College,BARMM,Lanao del Sur,Marawi City,Private,8.0051434,124.2801452,valid,False
,Antonio R. Pacheco College,BARMM,CITY OF COTABATO,Cotabato City,Private,7.217,124.2480011,valid,False
,As-Salihein Integrated School Foundation,BARMM,Lanao del Sur,Tamparan,Private,7.8740788,124.3295686,valid,False
,Asma Khadijah Islamic Academy,BARMM,Lanao del Sur,Picong,Private,7.6907181,123.9415518,valid,False
,Bai Malgen Mama College,BARMM,Maguindanao,DATU ODIN SINSUAT,Private,7.188889,124.183889,valid,False
,Balabagan Trade School,BARMM,Lanao Del Sur,Balabagan,OGS,7.5099424,124.1382876,valid,False
,Basilan State College-Lamitan,BARMM,Basilan,Lamitan City,Public SUC Satellite,6.6926507,121.9606911,valid,False
,Basilan State College-Maluso,BARMM,Basilan,Maluso,Public SUC Satellite,6.6926507,121.9606911,valid,False
,Basilan State College-Sta. Clara,BARMM,Basilan,Lamitan City,Public SUC Satellite,6.6926507,121.9606911,valid,False
,Basilan State College-Tipo-Tipo,BARMM,Basilan,Tipo-Tipo,Public SUC Satellite,6.6926507,121.9606911,valid,False
,Binnor Pangandaman Integrated College,BARMM,Lanao del Sur,Wao,Private,7.6675967,124.7077665,valid,False
,Bubong Marzok Memorial Foundation College,BARMM,Lanao Del Sur,Marawi City,Private,8.001945,124.2873617,valid,False
,Cali Paramedical College Foundation,BARMM,Lanao Del Sur,Marawi City,Private,8.0204892,124.2714321,valid,False
,Central Sulu College,BARMM,Sulu,Siasi,Private,5.5445782,120.8142574,valid,False
,Coland Systems Technology,BARMM,CITY OF COTABATO,Cotabato City,Private,7.2164104,124.2450265,valid,False
,Colegio de Upi,BARMM,Maguindanao,Upi,Private,7.0111525,124.1561129,valid,False
12008b,Cotabato Foundation College of Science and Technology-Datu Montawal Campus,BARMM,Maguindanao,Pagagawan,Public SUC Satellite,7.2105459,124.2440172,valid,False
12006,Cotabato State University,BARMM,CITY OF COTABATO,Cotabato City,Public SUC Main,7.2120945,124.2452807,valid,False
,Dansalan Polytechnic College,BARMM,Lanao Del Sur,Marawi City,Private,8.0106974,124.2899954,valid,False
,Datu Blo Umpar Adiong Agricultural School Foundation,BARMM,Lanao Del Sur,Marawi City,Private,7.9892902,124.2675433,valid,False
,Datu Ibrahim Paglas Memorial College,BARMM,Maguindanao,Datu Paglas,Private,6.76694,124.849999,valid,False
,Datu Mala Muslim Mindanao Islamic College Foundation,BARMM,Lanao del Sur,Marawi City,Private,8.0018209,124.2749633,valid,False
,De La Vida College,BARMM,CITY OF COTABATO,Cotabato City,Private,7.2205263,124.2517949,valid,False
,Del Sur Good Shepherd College,BARMM,Lanao Del Sur,Wao,Private,7.6447756,124.7265496,valid,False
,Dr. P. Ocampo Colleges,BARMM,CITY OF COTABATO,Cotabato City,Private,7.2095055,124.2474109,valid,False
,Eastern Kutawato College,BARMM,Maguindanao,Buluan,Private,6.7161898,124.7923736,valid,False
,Enthusiastic College,BARMM,Maguindanao,Buldon,Private,7.3728193,124.4087307,valid,False
,Gani L. Abpi College,BARMM,Maguindanao,Datu Piang,Private,7.0254773,124.4964046,valid,False
,General Diamongun K. Mangondato College of Agriculture and Fisheries,BARMM,Lanao del Sur,Masiu,Private,7.8048488,124.3141282,valid,False
,Hadji Butu School of Arts and Trades,BARMM,Sulu,JOLO (Capital),OGS,5.9691815,121.1252135,valid,False
,Hadji Datu Saidona Pendatun Foundation College,BARMM,Maguindanao,GEN. S. K. PENDATUN,Private,6.8259873,124.7529437,valid,False
,Hardam Furigay Colleges Foundation,BARMM,Basilan,Lamitan City,Private,6.6557471,122.1344419,valid,False
,Headstart College of Cotabato,BARMM,CITY OF COTABATO,Cotabato City,Private,7.1823052,124.2242221,valid,False
,Illana Bay Integrated Computer College,BARMM,Maguindanao,Parang,Private,7.3752172,124.2655467,valid,False
,Iqra Development Academy,BARMM,Lanao del Sur,Tamparan,Private,7.8725206,124.3365882,valid,False
,Iranun Foundation College,BARMM,Lanao del Sur,Kapatagan,Private,7.4657737,124.1865669,valid,False
,Jamiat Cotabato and Institute of Technology,BARMM,CITY OF COTABATO,Cotabato City,Private,7.186547,124.2244311,valid,False
,Jamiatu Dansalan Al-Islamia Foundation,BARMM,Lanao del Sur,Marawi City,Private,8.0077394,124.289408,valid,False
,Jamiatu Marawi Al-Islamia Foundation,BARMM,Lanao Del Sur,Marawi City,Private,8.0115593,124.2849917,valid,False
,Jamiatu Muslim Mindanao,BARMM,Lanao Del Sur,Marawi City,Private,8.0115593,124.2849917,valid,False
,Jamiatul Philippine Al-Islamia,BARMM,Lanao Del Sur,Marawi City,Private,8.000129,124.2831667,valid,False
,Khadijah Mohammad Islamic Academy,BARMM,Lanao Del Sur,Marawi City,Private,8.0042836,124.2808337,valid,False
,Kutawato Darrusalam College,BARMM,CITY OF COTABATO,Cotabato City,Private,7.2105459,124.2440172,valid,False
,Lake Lanao College,BARMM,Lanao Del Sur,Marawi City,Private,8.0106213,124.297718,valid,False
,Lamitan Technical Institute,BARMM,Basilan,Lamitan City,Private,6.6574218,122.1405649,valid,False
