tesda_inst_id,name,region,old_region,province,old_province,city_municipality,old_city_municipality,district,municipality_class,type_of_institution,classification,institution_classification,address,latitude,longitude,coord_status,psgc_observed_region,psgc_observed_province,psgc_observed_municity,psgc_observed_barangay
TESDA00001,Jairatul Technical Institute Incorporated,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Al-Barka,Al-Barka,Lone,Not Indicated,Private,TVI,Both,"Brgy. Guinanta, Al-Barka, Basilan",6.4983074,122.1472511,valid,19,19007,1900706,1900706016
TESDA00002,"Basilan Skills Development Academy, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Lamitan City,Lamitan City,Lone,Component,Private,TVI,Both,"Sayugan Lamitan City, Basilan",6.6532383,122.1513283,valid,19,19007,1900708,1900708008
TESDA00003,Basilan Technical Training and Assessment Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Lamitan City,Lamitan City,Lone,Component,Private,TVI,Provider Only,"07 01 A-Mueezh Bldg. Purok Central 10 Parangbasak, Lamitan City, Basilan",6.56898,122.1749,valid,19,19007,1900702,1900702063
TESDA00004,"HHH Technical and Driving Institute, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Lamitan City,Lamitan City,Lone,Component,Private,TVI,Both,"Brgy. Limo-ok, Lamitan City, Basilan",6.656008751,122.1344358,valid,19,19007,1900702,1900702068
TESDA00005,"HHH Technical and Driving Institute, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Lamitan City,Lamitan City,Lone,Component,Private,TVI,Both,"Brgy. Limo-ok, Lamitan City, Basilan",6.65601,122.1344358,valid,19,19007,1900702,1900702068
TESDA00006,Hardam Furigay Colleges Foundation Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Lamitan City,Lamitan City,Lone,Component,Private,HEI,Both,"Quezon Blvd., Lamitan City, Basilan",6.660194926,122.1407594,valid,19,19007,1900702,1900702069
TESDA00007,"Mindanao Autonomous College Foundation, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Lamitan City,Lamitan City,Lone,Component,Private,TVI,Both,"D. Flores St., Barangay Malakas, Lamitan City, Basilan",6.5398944,121.8595119,valid,,,,
TESDA00008,"Mindanao Autonomous College Foundation, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Lamitan City,Lamitan City,Lone,Component,Private,HEI,Both,"D' Flores St., Bgy. Maligaya, Lamitan City, Basilan",6.6563688,122.139654,valid,19,19007,1900702,1900702064
TESDA00009,Provincial Training Center - Basilan,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Maluso,Maluso,Lone,4th,Public,LGU,Provider Only,"Geras Rd., Sumagdang, Isabela City, Basilan",6.696808,121.960465,valid,09,09901,0990101,0990101047
TESDA00010,"Markajul Basir Kismul Lugatil Arabiyati, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Mohammad Ajul,Mohammad Ajul,Lone,Component,Private,TVI,Provider Only,"Bohe Samak, Tuburan Proper, Mohammad Ajul, Basilan",6.631301,122.277306,valid,19,19007,1900710,1900710011
TESDA00011,"Concerned Alliance of Professionals and Students, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Sumisip,Sumisip,Lone,1st,Private,TVI,Provider Only,"Basak, Sumusip, Basilan",6.485713313,121.9736664,valid,19,19007,1900705,1900705024
TESDA00012,IAM Institute of Technology Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Sumisip,Sumisip,Lone,1st,Private,TVI,Both,"BCR Hi-Way, Tumahubong, Sumisip, Basilan",6.47556,122.04507,valid,19,19007,1900705,1900705044
TESDA00013,"Ma'haD Mukhtar Liddirasatil Islamiyyati, Inc",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Sumisip,Sumisip,Lone,1st,Private,TVI,Provider Only,"Brgy. Upper Kabengbeng, Sumisip, Basilan",6.476607,122.081293,valid,19,19007,1900705,1900705030
TESDA00014,"Ma'had Abdul-Muhmein Littahfeedzil Qur-Anil Kareem Al-Islamie, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Sumisip,Sumisip,Lone,1st,Private,TVI,Provider Only,"Sapah-Bulak, Sumisip, Basilan",6.47915,122.05932,valid,19,19007,1900705,1900705030
TESDA00015,"OMAR SKILLS DEVELOPMENT INSTITUTE, INC.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Sumisip,Sumisip,Lone,1st,Private,TVI,Provider Only,"Bacung, Sumisip, Basilan",6.429859,122.0298522,valid,19,19007,1900705,1900705028
TESDA00016,"Badja Institute of Islamic Teaching, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Tipo-tipo,Tipo-tipo,Lone,3rd,Private,TVI,Both,"Badja, Tipo-Tipo, Basilan",6.552185,122.150494,valid,19,19007,1900706,1900706002
TESDA00017,"JM Technical Institute, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Ungkaya Pukan,Ungkaya Pukan,Lone,Component,Private,TVI,Provider Only,"Bohe Pahuh, Ungkaya Pukan, Basilan",6.4647511,122.1849681,valid,19,19007,1900709,1900709004
TESDA00018,"BADJA INSTITUTE OF ISLAMIC TEACHING, INC.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,,,,,,,Both,"Badja, Tipo-tipo",6.55199,122.150421,valid,19,19007,1900706,1900706002
TESDA00019,BASILAN PROVINCIAL TRAINING CENTER,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,,,,,,,Both,"Geras Road., Brgy. Sumagdang, Isabela City, Basilan",6.697149,121.960439,valid,09,09901,0990101,0990101047
TESDA00020,"BASILAN SKILLS DEVELOPMENT ACADEMY, INC.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,,,,,,,Both,"Sayugan, Brgy. Maganda, Lamitan City, Basilan",6.6532383,122.1513283,valid,19,19007,1900708,1900708008
